"loc","lon","lat"
"Bomaderry Station",150.609062,-34.85353
"Woolooware Station",151.140808,-34.052741
"Rosehill Station",151.0219798,-33.8231918
"Lithgow Station",150.1572991,-33.4805595
"Unanderra Station",150.8457446,-34.4549079
"Richmond Station",150.7526227,-33.5989191
"Emu Plains Station",150.6731035,-33.7460307
"Clyde Station",151.0165296,-33.8356783
"Cowan Station",151.1718155,-33.5935297
"Otford Station",151.0058313,-34.2107866
"Bexley North Station",151.1136524,-33.9374584
"Bardwell Park Station",151.1253131,-33.9313462
"Blackheath Station",150.284371,-33.6337509
"Hawkesbury River Station",151.2264729,-33.5469461
"Glenbrook Station",150.6210006,-33.7689814
"Marayong Station",150.9001884,-33.7462433
"Berry Station",150.6965918,-34.7803092
"Macquarie Fields Station",150.8790301,-33.9849025
"East Richmond Station",150.7590569,-33.6017605
"Newcastle Station",151.7843456,-32.9268137
"Gerringong Station",150.8176076,-34.744662
"Tahmoor Station",150.5899577,-34.22353
"Picton Station",150.6127122,-34.1791798
"Leppington Station",150.8080722,-33.9544502
"Beresfield Station",151.6581183,-32.7993864
"Riverstone Station",150.8603599,-33.6792984
"Austinmer Station",150.9293306,-34.3064769
"Heathcote Station",151.0083324,-34.0879188
"Oak Flats Station",150.8203931,-34.5719509
"Wyee Station",151.4871381,-33.180051
"Corrimal Station",150.9049369,-34.3756089
"Goulburn Station",149.7193261,-34.7581809
"Lawson Station",150.4297459,-33.7190211
"Menangle Park Station",150.7477466,-34.1026013
"Bankstown Station",151.0341437,-33.9178532
"Lewisham Station",151.1475085,-33.8934253
"Campsie Station",151.1034893,-33.9104129
"Ashfield Station",151.1257964,-33.8876216
"Summer Hill Station",151.1387352,-33.8904272
"Lakemba Station",151.0759314,-33.9199284
"Newtown Station",151.1788699,-33.8978205
"Marrickville Station",151.1532451,-33.9138001
"Wiley Park Station",151.0673791,-33.9228156
"Belmore Station",151.0883315,-33.917181
"Dulwich Hill Station",151.1411708,-33.9110628
"Croydon Station",151.1150945,-33.8832136
"Petersham Station",151.1551506,-33.8939152
"Punchbowl Station",151.0554739,-33.9254435
"Yagoona Station",151.0242827,-33.9069245
"Stanmore Station",151.1639107,-33.8946689
"Canterbury Station",151.1189744,-33.9120653
"Cheltenham Station",151.0785393,-33.755699
"Berala Station",151.0324957,-33.8716223
"Yennora Station",150.9711707,-33.864633
"Macdonaldtown Station",151.1855919,-33.8968457
"Regents Park Station",151.023934,-33.8829766
"Denistone Station",151.0869192,-33.7996626
"Hurlstone Park Station",151.1322417,-33.9103361
"Ourimbah Station",151.3709738,-33.3467611
"Albion Park Station",150.791667,-34.566667
"Chester Hill Station",150.9998399,-33.8835937
"Hazelbrook Station",150.4541787,-33.7236751
"East Hills Station",150.9846693,-33.9619365
"Narara Station",151.3449776,-33.3943965
"Edmondson Park Station",150.8586465,-33.9693902
"Niagara Park Station",151.354433,-33.3832051
"Lisarow Station",151.3700142,-33.3821909
"Birrong Station",151.0239787,-33.8928869
"Warnervale Station",151.4487372,-33.2474148
"Sefton Station",151.0117364,-33.8852763
"Villawood Station",150.9769349,-33.8808286
"Loftus Station",151.0513235,-34.0451578
"Carramar Station",150.9610081,-33.8845142
"Warabrook Station",151.7316081,-32.9028883
"Thornton Station",151.6397052,-32.783541
"Warrimoo Station",150.6027686,-33.7214344
"Telopea Station",151.0414977,-33.7938268
"Carlingford Station",151.0471415,-33.782135
"Lapstone Station",150.6428558,-33.7733843
"Mount Colah Station",151.1151086,-33.6713267
"Dundas Station",151.0330836,-33.8037891
"Victoria Street Station",151.5940833,-32.7510294
"Faulconbridge Station",150.5350458,-33.6964369
"Mulgrave Station",150.8301454,-33.6265579
"Booragul Station",151.6052148,-32.9716709
"Bulli Station",150.9147684,-34.3342325
"Maitland Station",151.5521275,-32.7380345
"Leightonfield Station",150.9846811,-33.8815241
"Vineyard Station",150.8510742,-33.6504454
"Point Clare Station",151.3284562,-33.4460053
"Tascott Station",151.3184561,-33.4510937
"Casula Station",150.9118169,-33.9501839
"Coniston Station",150.8851264,-34.437856
"Clarendon Station",150.7880152,-33.6086262
"Bellambi Station",150.9099939,-34.3628412
"Rydalmere Station",151.0291298,-33.8101539
"Woodford Station",150.4815944,-33.7356125
"Shellharbour Junction Station",150.8448986,-34.5912886
"Mittagong Station",150.4484111,-34.4525385
"Camellia Station",151.0240696,-33.8189516
"Port Kembla Station",150.9023023,-34.4797656
"East Maitland Station",151.5940833,-32.7510294
"Woonona Station",150.9151382,-34.349647
"Minnamurra Station",150.8543791,-34.6271793
"Koolewong Station",151.3185105,-33.466255
"Wondabyne Station",151.2569539,-33.4920931
"Telarah Station",151.5398629,-32.723438
"Stanwell Park Station",150.9813111,-34.2262528
"Dungog Station",151.7594372,-32.402097
"Singleton Station",151.1654301,-32.5719556
