"","mode","date","tap","time","loc","count","lat","lon","latlon"
"51","train",20160725,"on","15:45","Town Hall Station",2097,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"52","train",20160725,"on","18:00","Town Hall Station",4609,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"53","train",20160725,"on","20:30","Town Hall Station",1210,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"54","train",20160725,"on","19:15","Town Hall Station",1880,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"55","train",20160725,"on","08:00","Town Hall Station",589,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"56","train",20160725,"on","13:45","Town Hall Station",1144,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"57","train",20160725,"on","17:00","Town Hall Station",5794,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"58","train",20160725,"on","09:30","Town Hall Station",484,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"59","train",20160725,"on","22:30","Town Hall Station",376,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"60","train",20160725,"on","04:15","Town Hall Station",27,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"61","train",20160725,"on","10:00","Town Hall Station",467,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"62","train",20160725,"on","18:30","Town Hall Station",3665,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"63","train",20160725,"on","20:45","Town Hall Station",982,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"64","train",20160725,"on","07:45","Town Hall Station",555,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"65","train",20160725,"on","06:00","Town Hall Station",187,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"66","train",20160725,"on","05:45","Town Hall Station",176,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"67","train",20160725,"on","08:15","Town Hall Station",693,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"68","train",20160725,"on","11:00","Town Hall Station",523,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"69","train",20160725,"on","22:00","Town Hall Station",584,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"70","train",20160725,"on","17:15","Town Hall Station",5446,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"71","train",20160725,"on","10:30","Town Hall Station",525,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"72","train",20160725,"on","15:30","Town Hall Station",2123,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"73","train",20160725,"on","14:45","Town Hall Station",1414,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"74","train",20160725,"on","00:30","Town Hall Station",22,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"75","train",20160725,"on","19:30","Town Hall Station",1572,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"76","train",20160725,"on","06:15","Town Hall Station",238,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"77","train",20160725,"on","15:00","Town Hall Station",1814,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"78","train",20160725,"on","16:45","Town Hall Station",3452,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"79","train",20160725,"on","11:15","Town Hall Station",596,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"80","train",20160725,"on","09:15","Town Hall Station",505,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"81","train",20160725,"on","22:15","Town Hall Station",477,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"82","train",20160725,"on","21:45","Town Hall Station",673,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"83","train",20160725,"off","19:00","Town Hall Station",530,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"84","train",20160725,"off","13:30","Town Hall Station",1148,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"85","train",20160725,"off","12:00","Town Hall Station",1268,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"86","train",20160725,"off","15:45","Town Hall Station",1271,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"87","train",20160725,"off","10:45","Town Hall Station",982,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"88","train",20160725,"off","06:00","Town Hall Station",561,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"89","train",20160725,"off","00:00","Town Hall Station",72,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"90","train",20160725,"off","11:45","Town Hall Station",990,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"91","train",20160725,"off","05:45","Town Hall Station",395,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"92","train",20160725,"off","08:15","Town Hall Station",5795,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"93","train",20160725,"off","05:00","Town Hall Station",110,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"94","train",20160725,"off","11:00","Town Hall Station",1099,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"95","train",20160725,"off","16:15","Town Hall Station",1098,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"96","train",20160725,"off","21:30","Town Hall Station",253,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"97","train",20160725,"off","23:30","Town Hall Station",109,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"98","train",20160725,"off","23:15","Town Hall Station",65,"-33.8732664","151.2062183","-33.8732664,151.2062183"
