mode,date,tap,loc,count
bus,20160814,on,2234,344
bus,20160814,on,2519,88
bus,20160814,on,2570,140
bus,20160814,on,2136,275
bus,20160814,on,2137,627
bus,20160814,on,2134,3822
bus,20160814,on,2135,2781
bus,20160814,on,2132,340
bus,20160814,on,2133,485
bus,20160814,on,2130,95
bus,20160814,on,2131,1221
bus,20160814,on,2224,183
bus,20160814,on,2222,435
bus,20160814,on,2223,95
bus,20160814,on,2138,630
bus,20160814,on,2221,310
bus,20160814,on,2037,3554
bus,20160814,on,2036,2145
bus,20160814,on,2035,8616
bus,20160814,on,2034,4397
bus,20160814,on,2033,5643
bus,20160814,on,2032,6051
bus,20160814,on,2031,8543
bus,20160814,on,2030,795
bus,20160814,on,2749,100
bus,20160814,on,2506,128
bus,20160814,on,2251,114
bus,20160814,on,2039,2076
bus,20160814,on,2038,1744
bus,20160814,on,2756,47
bus,20160814,on,2308,195
bus,20160814,on,2518,163
bus,20160814,on,2558,71
bus,20160814,on,2250,1883
bus,20160814,on,2530,132
bus,20160814,on,2780,1759
bus,20160814,on,2121,1168
bus,20160814,on,2120,299
bus,20160814,on,2088,5730
bus,20160814,on,2089,3516
bus,20160814,on,2125,632
bus,20160814,on,2228,286
bus,20160814,on,2127,856
bus,20160814,on,2126,366
bus,20160814,on,2230,74
bus,20160814,on,2233,102
bus,20160814,on,2229,121
bus,20160814,on,2086,611
bus,20160814,on,2087,579
bus,20160814,on,2084,91
bus,20160814,on,2085,297
bus,20160814,on,2000,54587
bus,20160814,on,2007,3552
bus,20160814,on,2008,1410
bus,20160814,on,2009,1388
bus,20160814,on,2763,244
bus,20160814,off,2095,2912
bus,20160814,off,2094,184
bus,20160814,off,2097,719
bus,20160814,off,2096,478
bus,20160814,off,2090,1182
bus,20160814,off,2093,1407
bus,20160814,off,2092,264
bus,20160814,off,2099,3154
bus,20160814,off,2323,52
bus,20160814,off,2320,131
bus,20160814,off,2325,38
bus,20160814,off,2324,77
bus,20160814,off,2529,202
bus,20160814,off,2528,178
bus,20160814,off,2154,1921
bus,20160814,off,2155,1363
bus,20160814,off,2171,263
bus,20160814,off,2019,510
bus,20160814,off,2018,1976
bus,20160814,off,2152,225
bus,20160814,off,2153,1619
bus,20160814,off,2015,1072
bus,20160814,off,2745,118
bus,20160814,off,2017,2731
bus,20160814,off,2016,1746
bus,20160814,off,2011,697
bus,20160814,off,2010,10253
bus,20160814,off,2767,464
bus,20160814,off,2747,317
bus,20160814,off,2525,137
bus,20160814,off,2508,232
bus,20160814,off,2262,52
bus,20160814,off,2263,303
bus,20160814,off,2515,41
bus,20160814,off,2261,903
bus,20160814,off,2761,377
bus,20160814,off,2318,35
bus,20160814,off,2558,68
bus,20160814,off,2317,56
bus,20160814,off,2315,57
bus,20160814,off,2502,303
bus,20160814,off,2068,1107
bus,20160814,off,2069,260
bus,20160814,off,2145,1688
bus,20160814,off,2144,538
bus,20160814,off,-1,15318
bus,20160814,off,2142,934
bus,20160814,off,2141,1132
bus,20160814,off,2140,1107
bus,20160814,off,2060,1672
bus,20160814,off,2061,239
bus,20160814,off,2062,266
bus,20160814,off,2063,245
bus,20160814,off,2064,306
bus,20160814,off,2065,2614
bus,20160814,off,2066,1851
bus,20160814,off,2067,3797
bus,20160814,off,2770,1775
bus,20160814,off,2766,164
bus,20160814,off,2768,672
bus,20160814,off,2517,68
bus,20160814,off,2147,657
bus,20160814,off,2500,940
bus,20160814,off,2146,256
bus,20160814,off,2300,581
bus,20160814,off,2303,256
bus,20160814,off,2302,370
bus,20160814,off,2305,183
bus,20160814,off,2304,273
bus,20160814,off,2307,54
bus,20160814,off,2306,58
bus,20160814,off,2173,111
bus,20160814,off,2170,2997
bus,20160814,off,2027,434
bus,20160814,off,2176,1309
bus,20160814,off,2177,253
bus,20160814,off,2073,134
bus,20160814,off,2072,348
bus,20160814,off,2260,149
bus,20160814,off,2070,80
bus,20160814,off,2077,633
bus,20160814,off,2076,194
bus,20160814,off,2075,342
bus,20160814,off,2074,229
bus,20160814,off,2289,326
bus,20160814,off,2769,68
bus,20160814,off,2760,541
bus,20160814,off,2259,610
bus,20160814,off,2559,82
bus,20160814,off,2280,347
bus,20160814,off,2281,94
bus,20160814,off,2282,49
bus,20160814,off,2283,121
bus,20160814,off,2284,176
bus,20160814,off,2285,176
bus,20160814,off,2287,539
bus,20160814,off,2257,423
bus,20160814,off,2526,141
bus,20160814,off,2256,563
bus,20160814,off,2046,1218
bus,20160814,off,2047,2278
bus,20160814,off,2044,551
bus,20160814,off,2045,402
bus,20160814,off,2042,4974
bus,20160814,off,2043,239
bus,20160814,off,2040,2268
bus,20160814,off,2041,1373
bus,20160814,off,2028,222
bus,20160814,off,2048,728
bus,20160814,off,2049,867
bus,20160814,off,2168,924
bus,20160814,off,2166,1137
bus,20160814,off,2165,1226
bus,20160814,off,2164,336
bus,20160814,off,2167,118
bus,20160814,off,2148,3868
bus,20160814,off,2161,162
bus,20160814,off,2160,970
bus,20160814,off,2163,103
bus,20160814,off,2162,204
bus,20160814,off,2299,389
bus,20160814,off,2298,105
bus,20160814,off,2292,231
bus,20160814,off,2291,73
bus,20160814,off,2290,665
bus,20160814,off,2297,43
bus,20160814,off,2296,128
bus,20160814,off,2190,377
bus,20160814,off,2191,84
bus,20160814,off,2192,276
bus,20160814,off,2193,590
bus,20160814,off,2194,2108
bus,20160814,off,2195,237
bus,20160814,off,2196,569
bus,20160814,off,2197,135
bus,20160814,off,2198,48
bus,20160814,off,2199,245
bus,20160814,off,2560,1976
bus,20160814,off,2200,2649
bus,20160814,off,2050,4667
bus,20160814,off,2203,847
bus,20160814,off,2204,3083
bus,20160814,off,2205,220
bus,20160814,off,2057,196
bus,20160814,off,2207,590
